token,borrowings
USDC,0E-52
DAI,0E-52
USDT,34.98053999999999996717292561
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,30.98276399999999997092459125
ETH,0E-41
wBTC,0
USDC,31.99740800000000007230482879
DAI,0E-52
USDT,0E-51
ETH,28.40601399999999966894392855
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,30.98276399999999997092459125
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,29.98331999999999997186250766
ETH,0E-41
wBTC,0
USDC,106.9913330000000002417692713
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,159.9110399999999998499333742
ETH,0E-41
wBTC,0
USDC,199.9838000000000004519051799
DAI,0E-52
USDT,0E-51
ETH,62.43079999999999927240423858
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,98.99198100000000022369306407
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,109.991090000000000248547849
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,31.98220799999999996998667484
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,99.94439999999999990620835888
ETH,28.09385999999999967258190736
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,107.9912520000000002440287972
DAI,0E-52
USDT,0E-51
ETH,28.09385999999999967258190736
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,32.85179478906400007423549425
DAI,0E-52
USDT,0E-51
ETH,56.27512311999999934414518066
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,50.03266
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,30.09721826438600062124550938
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,37.37982225755800077156787431
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,63.14437889098600014268791725
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,30.96794600000000063921845594
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,49.99595000000000011297629499
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,45.27182168539100010230114002
DAI,0E-52
USDT,0E-51
ETH,29.65462999999999965439201333
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,31.21539999999999963620211929
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,37.77
USDC,0E-52
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,32.98165199999999996904875843
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,110.1079829042279998966704646
ETH,0E-41
wBTC,0
USDC,0E-52
DAI,0E-52
USDT,30.15518738857199997170122074
ETH,0E-41
wBTC,0
USDC,273.3450912540460006176803454
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,29.99757000000000006778577699
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,30.47638221306900006886775323
DAI,0E-52
USDT,0E-51
ETH,0E-41
wBTC,0
USDC,199.9838000000000004519051799
DAI,0E-52
USDT,0E-51
